Area name,Area prefix
Albania-AMC,35529590
Albania-AMC,35529623
Albania-AMC,35529650
Albania-AMC,35529680
Albania-AMC,35529723
Albania-AMC,35529750
Albania-AMC,35529763
Albania-AMC,35529780
Albania-AMC,35531150
Albania-AMC,35531151
Albania-AMC,35531250
Albania-AMC,35531350
Albania-AMC,35531351
Albania-AMC,3553270
Albania-AMC,3553350
Albania-AMC,3553351
Albania-AMC,3553490
Albania-AMC,3553491
Albania-AMC,3553560
Albania-AMC,35536023
Albania-AMC,35536043
Albania-AMC,35536063
Albania-AMC,35536073
Albania-AMC,35536090
Albania-AMC,35536150
Albania-AMC,35536240
Albania-AMC,35536290
Albania-AMC,35536340
Albania-AMC,35536380
Albania-AMC,35536440
Albania-AMC,35536480
Albania-AMC,35536540
Albania-AMC,35536580
Albania-AMC,35536640
Albania-AMC,35536670
Albania-AMC,35536740
Albania-AMC,35536770
Albania-AMC,35536840
Albania-AMC,35536890
Albania-AMC,35536923
Albania-AMC,35536993
Albania-AMC,35537140
Albania-AMC,35537141
Albania-AMC,35537223
Albania-AMC,35537263
Albania-AMC,35537283
Albania-AMC,35537293
Albania-AMC,35537340
Albania-AMC,35537370
Albania-AMC,35537393
Albania-AMC,35537450
Albania-AMC,35537490
Albania-AMC,35537494
Albania-AMC,35537523
Albania-AMC,35537563
Albania-AMC,35537590
Albania-AMC,35537623
Albania-AMC,35537680
Albania-AMC,35537740
Albania-AMC,35537773
Albania-AMC,35537790
Albania-AMC,35537823
Albania-AMC,35537843
Albania-AMC,35537853
Albania-AMC,35537870
Albania-AMC,35537890
Albania-AMC,35538150
Albania-AMC,35538151
Albania-AMC,35538152
Albania-AMC,35538240
Albania-AMC,35538241
Albania-AMC,35538350
Albania-AMC,35538423
Albania-AMC,35538470
Albania-AMC,35538523
Albania-AMC,35538593
Albania-AMC,35538623
Albania-AMC,35538650
Albania-AMC,35538680
Albania-AMC,35538693
Albania-AMC,35538725
Albania-AMC,35538790
Albania-AMC,35538850
Albania-AMC,35538923
Albania-AMC,35538940
Albania-AMC,35538980
Albania-AMC,35539150
Albania-AMC,35539151
Albania-AMC,35539240
Albania-AMC,35539241
Albania-AMC,35539360
Albania-AMC,35539361
Albania-AMC,35539450
Albania-AMC,35539560
Albania-AMC,35539640
Albania-AMC,35539690
Albania-AMC,35539740
Albania-AMC,35539790
Albania-AMC,35539823
Albania-AMC,35539850
Albania-AMC,35539880
Albania-AMC,3554630
Albania-AMC,3554631
Albania-AMC,3554632
Albania-AMC,3554633
Albania-AMC,35547210
Albania-AMC,35547425
Albania-AMC,35547550
Albania-AMC,35547700
Albania-AMC,35547870
Albania-AMC,35547950
Albania-AMC,35548270
Albania-AMC,35548271
Albania-AMC,35548272
Albania-AMC,35548570
Albania-AMC,35548660
Albania-AMC,35548750
Albania-AMC,35548855
Albania-AMC,35548935
Albania-AMC,35548936
Albania-AMC,35549250
Albania-AMC,35549440
Albania-AMC,35549560
Albania-AMC,35549730
Albania-AMC,35549830
Albania-AMC,35549930
Albania-AMC,3555114
Albania-AMC,35551240
Albania-AMC,35551241
Albania-AMC,35551360
Albania-AMC,35551361
Albania-AMC,35551460
Albania-AMC,35551461
Albania-AMC,3555263
Albania-AMC,3555264
Albania-AMC,3555370
Albania-AMC,3555490
Albania-AMC,3555491
Albania-AMC,3555540
Albania-AMC,35556150
Albania-AMC,35556240
Albania-AMC,35556293
Albania-AMC,35556340
Albania-AMC,35556445
Albania-AMC,35556465
Albania-AMC,35556550
Albania-AMC,35556583
Albania-AMC,35557043
Albania-AMC,35557070
Albania-AMC,35557094
Albania-AMC,35557180
Albania-AMC,35557260
Albania-AMC,35557390
Albania-AMC,35557463
Albania-AMC,35557464
Albania-AMC,35557494
Albania-AMC,35557543
Albania-AMC,35557544
Albania-AMC,35557584
Albania-AMC,35557643
Albania-AMC,35557644
Albania-AMC,35557683
Albania-AMC,35557770
Albania-AMC,35557771
Albania-AMC,35557843
Albania-AMC,35557865
Albania-AMC,35557943
Albania-AMC,35557963
Albania-AMC,35557993
Albania-AMC,35558023
Albania-AMC,35558073
Albania-AMC,35558150
Albania-AMC,35558151
Albania-AMC,35558250
Albania-AMC,35558323
Albania-AMC,35558373
Albania-AMC,35558424
Albania-AMC,35558460
Albania-AMC,35558484
Albania-AMC,35558494
Albania-AMC,35558540
Albania-AMC,35558564
Albania-AMC,35558580
Albania-AMC,35558594
Albania-AMC,35558624
Albania-AMC,35558670
Albania-AMC,35558693
Albania-AMC,35558724
Albania-AMC,35558764
Albania-AMC,35558790
Albania-AMC,35558824
Albania-AMC,35558842
Albania-AMC,35558852
Albania-AMC,35558882
Albania-AMC,35558924
Albania-AMC,35558953
Albania-AMC,35558983
Albania-AMC,35559150
Albania-AMC,35559240
Albania-AMC,35559324
Albania-AMC,35559360
Albania-AMC,35559394
Albania-AMC,35559424
Albania-AMC,35559462
Albania-AMC,35559492
Albania-AMC,35559540
Albania-AMC,35559572
Albania-AMC,35559622
Albania-AMC,35559664
Albania-AMC,35559674
Albania-AMC,35559684
Albania-AMC,35559694
Albania-AMC,35559722
Albania-AMC,35559754
Albania-AMC,35559770
Albania-AMC,35559794
Albania-AMC,35572780
Albania-AMC,35581140
Albania-AMC,35581141
Albania-AMC,35581240
Albania-AMC,35581241
Albania-AMC,35581340
Albania-AMC,35581341
Albania-AMC,35581450
Albania-AMC,35581451
Albania-AMC,35581540
Albania-AMC,3558290
Albania-AMC,3558291
Albania-AMC,3558340
Albania-AMC,3558460
Albania-AMC,3558550
Albania-AMC,35586022
Albania-AMC,35586070
Albania-AMC,35586082
Albania-AMC,35586150
Albania-AMC,35586260
Albania-AMC,35586344
Albania-AMC,35586372
Albania-AMC,35586424
Albania-AMC,35586462
Albania-AMC,35586472
Albania-AMC,35586494
Albania-AMC,35586524
Albania-AMC,35586572
Albania-AMC,35586582
Albania-AMC,35586622
Albania-AMC,35586672
Albania-AMC,35586750
Albania-AMC,35586796
Albania-AMC,35586850
Albania-AMC,35586892
Albania-AMC,35586922
Albania-AMC,35586972
Albania-AMC,35587150
Albania-AMC,35587151
Albania-AMC,35587174
Albania-AMC,35587184
Albania-AMC,35587194
Albania-AMC,35587224
Albania-AMC,35587270
Albania-AMC,35587294
Albania-AMC,35587322
Albania-AMC,35587392
Albania-AMC,35587442
Albania-AMC,35587482
Albania-AMC,35587540
Albania-AMC,35587622
Albania-AMC,35587652
Albania-AMC,35587672
Albania-AMC,35587692
Albania-AMC,35587722
Albania-AMC,35587760
Albania-AMC,35587790
Albania-AMC,35588140
Albania-AMC,35588194
Albania-AMC,35588222
Albania-AMC,35588262
Albania-AMC,35588274
Albania-AMC,35588294
Albania-AMC,35588324
Albania-AMC,35588364
Albania-AMC,35588372
Albania-AMC,35588392
Albania-AMC,35588440
Albania-AMC,35588480
Albania-AMC,35588540
Albania-AMC,35588590
Albania-AMC,35588640
Albania-AMC,35588682
Albania-AMC,35588692
Albania-AMC,35588722
Albania-AMC,35588750
Albania-AMC,35588770
Albania-AMC,35588790
Albania-AMC,35589140
Albania-AMC,35589164
Albania-AMC,35589192
Albania-AMC,35589224
Albania-AMC,35589280
Albania-AMC,35589324
Albania-AMC,35589422
Albania-AMC,35589480
Albania-AMC,35589524
Albania-AMC,35589562
Albania-AMC,35589590
Albania-Albtel,3554249
Albania-Albtel,3554250
Albania-Albtel,3554251
Albania-Interactive TV,35534606
Albania-Interactive TV,35534607
Albania-Interactive TV,35534608
Albania-Interactive TV,35534609
Albania-Interactive TV,35535505
Albania-Interactive TV,35545750
Albania-Interactive TV,35545751
Albania-Interactive TV,35551181
Albania-Interactive TV,35552450
Albania-Interactive TV,35555903
Albania-Interactive TV,35555904
"Albania-Mobile, AMC",35568
"Albania-Mobile, Eagle",35567
"Albania-Mobile, Others",3556
"Albania-Mobile, Plus/4L",35566
"Albania-Mobile, Vodafone",35569
Albania-OLO,3554252
Albania-Tirana,3554
Algeria,213
Algeria-Algiers,21320
Algeria-Algiers,21321
Algeria-Algiers,21322
Algeria-CAT,2131
"Algeria-Mobile, Divona",2139619
"Algeria-Mobile, Djezzy/Orascom",2137
"Algeria-Mobile, Mobilis",2136
"Algeria-Mobile, Ooredo/Wataniya",2135
"Algeria-Mobile, VSAT",21396
Algeria-VAS,2138
American Samoa,1684
"American Samoa-Mobile, AS Telecom",168473
"American Samoa-Mobile, Blue Sky",16842
Andorra,376
Andorra-La Vella,3767
Andorra-La Vella,3768
"Andorra-Mobile, Mobiland",3763
"Andorra-Mobile, Mobiland",3764
"Andorra-Mobile, Mobiland",3765
"Andorra-Mobile, Mobiland",3766
Angola,244
Angola-Luanda,2442
Angola-Mobile,2449
"Angola-Mobile, Movicel",24490
"Angola-Mobile, Movicel",24491
"Angola-Mobile, Movicel",24495
"Angola-Mobile, Movicel",24496
"Angola-Mobile, Movicel",24497
"Angola-Mobile, Movicel",24498
"Angola-Mobile, Movicel",24499
"Angola-Mobile, Movicel SA",244912
"Angola-Mobile, Movicel SA",244913
"Angola-Mobile, Movicel SA",244914
"Angola-Mobile, Movicel SA",244915
"Angola-Mobile, Movicel SA",244916
"Angola-Mobile, Movicel SA",244917
"Angola-Mobile, Unitel",24492
"Angola-Mobile, Unitel",24493
"Angola-Mobile, Unitel",24494
Anguilla,1264
Anguilla-Mobile,1264469
Anguilla-Mobile,1264497
Anguilla-Mobile,1264543
"Anguilla-Mobile, AT&T",1264581
"Anguilla-Mobile, AT&T",1264582
"Anguilla-Mobile, AT&T",1264583
"Anguilla-Mobile, AT&T",1264584
"Anguilla-Mobile, C & W (GSM)",1264476
"Anguilla-Mobile, C & W (GSM)",1264729
"Anguilla-Mobile, C & W (TDMA)",1264235
"Anguilla-Mobile, C & W (TDMA)",1264772
"Anguilla-Mobile, Digicel",1264536
"Anguilla-Mobile, Digicel",1264537
"Anguilla-Mobile, Digicel",1264538
"Anguilla-Mobile, Digicel",1264539
"Anguilla-Mobile, Special",1264000
"Anguilla-Mobile, Special",1264845
Antarctica,672
Antarctica-Casey Base,67212
Antarctica-Davis Base,67210
Antarctica-Maquarie Station,67213
Antarctica-Scott Base,67211
Antigua and Barbuda,1268
"Antigua and Barbuda-Mobile, APUA",1268406
"Antigua and Barbuda-Mobile, APUA",1268409
"Antigua and Barbuda-Mobile, APUA",1268464
"Antigua and Barbuda-Mobile, APUA",1268717
"Antigua and Barbuda-Mobile, APUA",1268718
"Antigua and Barbuda-Mobile, APUA",1268719
"Antigua and Barbuda-Mobile, APUA",1268723
"Antigua and Barbuda-Mobile, APUA",1268724
"Antigua and Barbuda-Mobile, APUA",1268725
"Antigua and Barbuda-Mobile, APUA",1268726
"Antigua and Barbuda-Mobile, APUA",1268727
"Antigua and Barbuda-Mobile, APUA",1268728
"Antigua and Barbuda-Mobile, APUA",1268729
"Antigua and Barbuda-Mobile, APUA",1268732
"Antigua and Barbuda-Mobile, APUA",1268734
"Antigua and Barbuda-Mobile, APUA",1268736
"Antigua and Barbuda-Mobile, APUA",1268764
"Antigua and Barbuda-Mobile, APUA",1268770
"Antigua and Barbuda-Mobile, APUA",1268771
"Antigua and Barbuda-Mobile, APUA",1268772
"Antigua and Barbuda-Mobile, APUA",1268773
"Antigua and Barbuda-Mobile, APUA",1268774
"Antigua and Barbuda-Mobile, APUA",1268775
"Antigua and Barbuda-Mobile, APUA",1268779
"Antigua and Barbuda-Mobile, APUA",126878
"Antigua and Barbuda-Mobile, APUA",126879
Argentina,54
"Argentina, Special Services",54115519
"Argentina, Special Services",54116261
"Argentina, Special Services",54221587
Argentina-Bahia Blanca,54291
Argentina-Buenos Aires,5411
Argentina-Cordoba,5435
Argentina-Corrientes,54378
Argentina-Junin,542362
Argentina-La Pampa,54230
Argentina-La Plata,54221
Argentina-Mar Del Plata,54223
Argentina-Marcos Juarez,54347
Argentina-Mendoza,54261
Argentina-Mobile,549
Argentina-Morena,54237
Argentina-Neupuen,54299
Argentina-Pilar/Lujan & Mercedes,54232
Argentina-Posadas,543752
Argentina-Resistencia,543722
Argentina-Rio Cuarto,54358
Argentina-Rosario,54341
Argentina-Salta,54387
Argentina-San Juan,54264
Argentina-San Luis (Prov. San Luis),54265
Argentina-Santa Fe,54342
Argentina-Tucuman,54381
Argentina-Villa Maria,54353
Argentina-Zarata/Campana,54348
Armenia,374
Armenia-Abovyan City,374222
Armenia-Echmiadzin,374231
Armenia-Gumri,374312
Armenia-Masis,374236
"Armenia-Mobile, Beeline/Armentel",37491
"Armenia-Mobile, Beeline/Armentel",37496
"Armenia-Mobile, Beeline/Armentel",37499
"Armenia-Mobile, K-Telecom/Vivacell",37477
"Armenia-Mobile, K-Telecom/Vivacell",37493
"Armenia-Mobile, K-Telecom/Vivacell",37494
"Armenia-Mobile, K-Telecom/Vivacell",37498
"Armenia-Mobile, Nagornyi Karabakh",37497
"Armenia-Mobile, Orange",37455
"Armenia-Mobile, Orange",37495
"Armenia-Mobile, Others",3745
"Armenia-Mobile, Others",3747
"Armenia-Mobile, Others",3749
"Armenia-Mobile, TelGSM",37492
Armenia-NGN/Special Services,37460
Armenia-Nagornyi Karabakh,3744
Armenia-Ucom,37411
Armenia-Vanadzor,374322
Armenia-Vivacell,3746076
Armenia-Vivacell,3746077
Armenia-Vivacell,3746078
Armenia-Vivacell,3746079
Armenia-Vivacell,3746080
Armenia-Vivacell,3746081
Armenia-Yerevan,37410
Aruba,297
Aruba-Mobile,2979
"Aruba-Mobile, Digicel",29763
"Aruba-Mobile, Digicel",29764
"Aruba-Mobile, Digicel",29773
"Aruba-Mobile, Digicel",29774
"Aruba-Mobile, MIO",297600
"Aruba-Mobile, MIO",297622
"Aruba-Mobile, Setar",29756
"Aruba-Mobile, Setar",29759
"Aruba-Mobile, Setar",29766
"Aruba-Mobile, Setar",29769
"Aruba-Mobile, Setar",29796
"Aruba-Mobile, Setar",29799
Ascension Islands,247
Ascension Islands-Mobile,2474
Ascension Islands-Mobile,2475
Ascension Islands-Mobile,2478
Ascension Islands-Mobile,2479
Australia,61
Australia Satellite-Fixed Telstra,6114711
Australia Satellite-Fixed Telstra,6114712
Australia Satellite-Fixed Telstra,6114713
Australia Satellite-Fixed Telstra,6114717
Australia Satellite-Fixed Telstra,6114718
Australia Satellite-Fixed Telstra,6114719
Australia Satellite-Mobile Optus,611451
Australia Satellite-Mobile Optus,611452
Australia Satellite-Mobile Optus,611453
Australia Satellite-Mobile Telstra,6114715
Australia Satellite-Mobile Telstra,6114716
Australia Territories All,6114714
Australia-Adelaide,6187
Australia-Adelaide,6188
Australia-Brisbane,6172
Australia-Brisbane,6173
Australia-Canberra,6126
Australia-Darwin,61889
Australia-Hobart,613227
Australia-Hobart,613621
Australia-Hobart,613622
Australia-Hobart,613623
Australia-Hobart,613624
Australia-Hobart,613626
Australia-Local Rate,6113
Australia-Melbourne,6138
Australia-Melbourne,6139
Australia-Mobile,611
Australia-Mobile,614
Australia-Mobile,615
"Australia-Mobile, Hutchison",61425
"Australia-Mobile, Hutchison",61430
"Australia-Mobile, Hutchison",61433
"Australia-Mobile, Lycamobile",61469
"Australia-Mobile, Lycamobile",61470
"Australia-Mobile, Mobilsat",61143
"Australia-Mobile, OpTus",61401
"Australia-Mobile, OpTus",61402
"Australia-Mobile, OpTus",61403
"Australia-Mobile, OpTus",61411
"Australia-Mobile, OpTus",61412
"Australia-Mobile, OpTus",61413
"Australia-Mobile, OpTus",61421
"Australia-Mobile, OpTus",61422
"Australia-Mobile, OpTus",61423
"Australia-Mobile, OpTus",61431
"Australia-Mobile, OpTus",61432
"Australia-Mobile, OpTus",61434
"Australia-Mobile, OpTus",61435
"Australia-Mobile, Reach",6115
"Australia-Mobile, Reach",6116
"Australia-Mobile, Reach",6117
"Australia-Mobile, Reach",6118
"Australia-Mobile, Reach",6119
"Australia-Mobile, Telsta",6140
"Australia-Mobile, Telsta",61400
"Australia-Mobile, Telsta",61407
"Australia-Mobile, Telsta",61408
"Australia-Mobile, Telsta",61409
"Australia-Mobile, Telsta",61417
"Australia-Mobile, Telsta",61418
"Australia-Mobile, Telsta",61419
"Australia-Mobile, Telsta",614200
"Australia-Mobile, Telsta",6142010
"Australia-Mobile, Telsta",61427
"Australia-Mobile, Telsta",61428
"Australia-Mobile, Telsta",61429
"Australia-Mobile, Telsta",61437
"Australia-Mobile, Telsta",61438
"Australia-Mobile, Telsta",61439
"Australia-Mobile, Telsta",6144
"Australia-Mobile, Telsta",61447
"Australia-Mobile, Telsta",61448
"Australia-Mobile, Telsta",61488
"Australia-Mobile, Vodafone",61404
"Australia-Mobile, Vodafone",61405
"Australia-Mobile, Vodafone",61406
"Australia-Mobile, Vodafone",61410
"Australia-Mobile, Vodafone",61414
"Australia-Mobile, Vodafone",61415
"Australia-Mobile, Vodafone",61416
"Australia-Mobile, Vodafone",61420
"Australia-Mobile, Vodafone",61424
"Australia-Mobile, Vodafone",61449
"Australia-Mobile, Vodafone",61450
Australia-NSW Act,612
Australia-Perth,61852
Australia-Perth,61853
Australia-Perth,61854
Australia-Perth,61861
Australia-Perth,61862
Australia-Perth,61863
Australia-Perth,61864
Australia-Perth,61865
Australia-Perth,61892
Australia-Perth,61893
Australia-Perth,61894
Australia-Proper,610
Australia-Queensland,617
Australia-Sydney,6128
Australia-Sydney,6129
Australia-Tasmania,6136
Australia-Victoria,613
Australia-Wa Sa,618
Austria,43
Austria - Corporate number,43501
Austria - Corporate number,43502
Austria - Corporate number,43503
Austria - Corporate number,43504
Austria - Corporate number,43505
Austria - Corporate number,43506
Austria - Corporate number,43507
Austria - Corporate number,43508
Austria - Corporate number,43509
Austria - Corporate number,43517
Austria - Corporate number,4357
Austria - Corporate number,4359
Austria - Graz,433
Austria - Innsbruck,435
Austria - Internet numbers,43718
Austria - Klagenfurt,434
Austria - Linz,437
Austria - Mobile Spusu (Hutchison Drei),43670
Austria - Mobile Telering (T-Mobile),43650
"Austria - Mobile, A1/Telekom Austria",43664
"Austria - Mobile, BoB (A1)",43680
"Austria - Mobile, Eety2 (Hutchison Drei)",43665
"Austria - Mobile, HoT (T-Mobile)",43677
"Austria - Mobile, Hutchison Drei",43660
"Austria - Mobile, Hutchison Drei",43699
"Austria - Mobile, Other",43644
"Austria - Mobile, Other",43663
"Austria - Mobile, T-Mobile",43676
"Austria - Mobile, Tele2 (A1)",43688
"Austria - Mobile, Yesss (A1)",43681
"Austria - Mobile, Yesss (A1)",436998
Austria - Salzburg,436
Austria - Vienna,431
"Austria, Special Services",43711
"Austria, Special Services",43720
"Austria, Special Services",43730
"Austria, Special Services",43740
"Austria, Special Services",43780
"Austria, Special Services",43810
"Austria, Special Services",43820
"Austria, Special Services",43821
"Austria, Special Services",43828
"Austria, Special Services",439
Azerbaijan,994
Azerbaijan-Baku,99412
Azerbaijan-Baku Catel,99412418
Azerbaijan-Baku Catel,99412447
Azerbaijan-Baku Catel,99412449
Azerbaijan-Lankaran,994171
Azerbaijan-Mobile,9945
Azerbaijan-Mobile,9946
Azerbaijan-Mobile,9947
"Azerbaijan-Mobile, 40/Catel",99440
"Azerbaijan-Mobile, 70/Azerfon",99470
"Azerbaijan-Mobile, 70/Azerfon",99477
"Azerbaijan-Mobile, Azercell",99450
"Azerbaijan-Mobile, Azercell",99451
"Azerbaijan-Mobile, Bakcell",99455
"Azerbaijan-Mobile, CDMA",99444
"Azerbaijan-Mobile, CDMA/Nakhchivan",99460
Azerbaijan-Nakhchivan,994136
Azerbaijan-Sumgayit,994164
Bahamas,1242
"Bahamas-Mobile, Batelco",1242357
"Bahamas-Mobile, Batelco",1242359
"Bahamas-Mobile, Batelco",1242375
"Bahamas-Mobile, Batelco",1242395
"Bahamas-Mobile, Batelco",1242422
"Bahamas-Mobile, Batelco",1242423
"Bahamas-Mobile, Batelco",1242424
"Bahamas-Mobile, Batelco",1242425
"Bahamas-Mobile, Batelco",1242426
"Bahamas-Mobile, Batelco",1242427
"Bahamas-Mobile, Batelco",1242434
"Bahamas-Mobile, Batelco",1242436
"Bahamas-Mobile, Batelco",1242441
"Bahamas-Mobile, Batelco",1242442
"Bahamas-Mobile, Batelco",1242451
"Bahamas-Mobile, Batelco",1242452
"Bahamas-Mobile, Batelco",1242453
"Bahamas-Mobile, Batelco",1242454
"Bahamas-Mobile, Batelco",1242455
"Bahamas-Mobile, Batelco",1242456
"Bahamas-Mobile, Batelco",1242457
"Bahamas-Mobile, Batelco",1242462
"Bahamas-Mobile, Batelco",1242463
"Bahamas-Mobile, Batelco",1242464
"Bahamas-Mobile, Batelco",1242465
"Bahamas-Mobile, Batelco",1242466
"Bahamas-Mobile, Batelco",1242467
"Bahamas-Mobile, Batelco",1242468
"Bahamas-Mobile, Batelco",1242470
"Bahamas-Mobile, Batelco",1242471
"Bahamas-Mobile, Batelco",1242472
"Bahamas-Mobile, Batelco",1242473
"Bahamas-Mobile, Batelco",1242474
"Bahamas-Mobile, Batelco",1242475
"Bahamas-Mobile, Batelco",1242476
"Bahamas-Mobile, Batelco",1242477
"Bahamas-Mobile, Batelco",1242478
"Bahamas-Mobile, Batelco",1242479
"Bahamas-Mobile, Batelco",1242481
"Bahamas-Mobile, Batelco",1242524
"Bahamas-Mobile, Batelco",1242525
"Bahamas-Mobile, Batelco",1242533
"Bahamas-Mobile, Batelco",1242535
"Bahamas-Mobile, Batelco",1242544
"Bahamas-Mobile, Batelco",1242551
"Bahamas-Mobile, Batelco",1242552
"Bahamas-Mobile, Batelco",1242553
"Bahamas-Mobile, Batelco",1242554
"Bahamas-Mobile, Batelco",1242556
"Bahamas-Mobile, Batelco",1242557
"Bahamas-Mobile, Batelco",1242558
"Bahamas-Mobile, Batelco",1242559
"Bahamas-Mobile, Batelco",1242565
"Bahamas-Mobile, Batelco",1242577
"Bahamas-Mobile, Batelco",1242636
"Bahamas-Mobile, Batelco",1242646
"Bahamas-Mobile, Batelco",1242727
Bahamas-Nassau & Freeport,1242302
Bahamas-Nassau & Freeport,1242321
Bahamas-Nassau & Freeport,1242322
Bahamas-Nassau & Freeport,1242323
Bahamas-Nassau & Freeport,1242324
Bahamas-Nassau & Freeport,1242325
Bahamas-Nassau & Freeport,1242326
Bahamas-Nassau & Freeport,1242327
Bahamas-Nassau & Freeport,1242328
Bahamas-Nassau & Freeport,1242341
Bahamas-Nassau & Freeport,1242356
Bahamas-Nassau & Freeport,1242361
Bahamas-Nassau & Freeport,1242362
Bahamas-Nassau & Freeport,1242363
Bahamas-Nassau & Freeport,1242364
Bahamas-Nassau & Freeport,1242365
Bahamas-Nassau & Freeport,1242366
Bahamas-Nassau & Freeport,1242367
Bahamas-Nassau & Freeport,1242377
Bahamas-Nassau & Freeport,1242392
Bahamas-Nassau & Freeport,1242393
Bahamas-Nassau & Freeport,1242394
Bahamas-Nassau & Freeport,1242461
Bahamas-Nassau & Freeport,1242502
Bahamas-Nassau & Freeport,1242702
Bahrain,973
Bahrain (Batelco),97317
Bahrain (Etisl),973133
Bahrain (Zain),973136
Bahrain Mobile,9733
Bahrain Mobile,9736
Bahrain Mobile,9739
"Bahrain Mobile, Batelco",97331
"Bahrain Mobile, Batelco",973322
"Bahrain Mobile, Batelco",973384
"Bahrain Mobile, Batelco",973385
"Bahrain Mobile, MENA",97377
"Bahrain Mobile, MTC Vodafone",97336
"Bahrain Mobile, MTC Vodafone",97337
"Bahrain Mobile, STC (Viva)",97333
"Bahrain Mobile, STC (Viva)",973340
"Bahrain Mobile, STC (Viva)",973341
"Bahrain Mobile, STC (Viva)",973343
"Bahrain Mobile, STC (Viva)",973344
"Bahrain Mobile, STC (Viva)",973345
"Bahrain Mobile, STC (Viva)",97335
"Bahrain Mobile, STC (Viva)",97363
Bahrain-Kalaam,973161
Bahrain-LightSpeed,973166
Bangladesh,880
Bangladesh-Bangla Phone Ltd,880359
Bangladesh-Bay Phones,880313
Bangladesh-Chittagong,88031
Bangladesh-Dhaka,8802
Bangladesh-Dhaka Phone Ltd,880666
