country,operator,prefix
Albania,AMC,35558373
Albania,AMC,35558424
Albania,AMC,35558460
Albania,AMC,35558484
Albania,AMC,35558494
Albania,AMC,35558540
Albania,AMC,35558564
Albania,AMC,35558580
Albania,AMC,35558594
Albania,AMC,35558624
Albania,AMC,35558670
Albania,AMC,35558693
Albania,AMC,35558724
Albania,AMC,35558764
Albania,AMC,35558790
Albania,AMC,35558824
Albania,AMC,35558842
Albania,AMC,35558852
Albania,AMC,35558882
Albania,AMC,35558924
Albania,AMC,35558953
Albania,AMC,35558983
Albania,AMC,35559150
Albania,AMC,35559240
Albania,AMC,35559324
Albania,AMC,35559360
Albania,AMC,35559394
Albania,AMC,35559424
Albania,AMC,35559462
Albania,AMC,35559492
Albania,AMC,35559540
Albania,AMC,35559572
Albania,AMC,35559622
Albania,AMC,35559664
Albania,AMC,35559674
Albania,AMC,35559684
Albania,AMC,35559694
Albania,AMC,35559722
Albania,AMC,35559754
Albania,AMC,35559770
Albania,AMC,35559794
Albania,AMC,35572780
Albania,AMC,35581140
Albania,AMC,35581141
Albania,AMC,35581240
Albania,AMC,35581241
Albania,AMC,35581340
Albania,AMC,35581341
Albania,AMC,35581450
Albania,AMC,35581451
Albania,AMC,35581540
Albania,AMC,3558290
Albania,AMC,3558291
Albania,AMC,3558340
Albania,AMC,3558460
Albania,AMC,3558550
Albania,AMC,35586022
Albania,AMC,35586070
Albania,AMC,35586082
Albania,AMC,35586150
Albania,AMC,35586260
Albania,AMC,35586344
Albania,AMC,35586372
Albania,AMC,35586424
Albania,AMC,35586462
Albania,AMC,35586472
Albania,AMC,35586494
Albania,AMC,35586524
Albania,AMC,35586572
Albania,AMC,35586582
Albania,AMC,35586622
Albania,AMC,35586672
Albania,AMC,35586750
Albania,AMC,35586796
Albania,AMC,35586850
Albania,AMC,35586892
Albania,AMC,35586922
Albania,AMC,35586972
Albania,AMC,35587150
Albania,AMC,35587151
Albania,AMC,35587174
Albania,AMC,35587184
Albania,AMC,35587194
Albania,AMC,35587224
Albania,AMC,35587270
Albania,AMC,35587294
Albania,AMC,35587322
Albania,AMC,35587392
Albania,AMC,35587442
Albania,AMC,35587482
Albania,AMC,35587540
Albania,AMC,35587622
Albania,AMC,35587652
Albania,AMC,35587672
Albania,AMC,35587692
Albania,AMC,35587722
Albania,AMC,35587760
Albania,AMC,35587790
Albania,AMC,35588140
Albania,AMC,35588194
Albania,AMC,35588222
Albania,AMC,35588262
Albania,AMC,35588274
Albania,AMC,35588294
Albania,AMC,35588324
Albania,AMC,35588364
Albania,AMC,35588372
Albania,AMC,35588392
Albania,AMC,35588440
Albania,AMC,35588480
Albania,AMC,35588540
Albania,AMC,35588590
Albania,AMC,35588640
Albania,AMC,35588682
Albania,AMC,35588692
Albania,AMC,35588722
Albania,AMC,35588750
Albania,AMC,35588770
Albania,AMC,35588790
Albania,AMC,35589140
Albania,AMC,35589164
Albania,AMC,35589192
Albania,AMC,35589224
Albania,AMC,35589280
Albania,AMC,35589324
Albania,AMC,35589422
Albania,AMC,35589480
Albania,AMC,35589524
Albania,AMC,35589562
Albania,AMC,35589590
Albania,Albtel,3554249
Albania,Albtel,3554250
Albania,Albtel,3554251
Albania,Interactive TV,35534606
Albania,Interactive TV,35534607
Albania,Interactive TV,35534608
Albania,Interactive TV,35534609
Albania,Interactive TV,35535505
Albania,Interactive TV,35545750
Albania,Interactive TV,35545751
Albania,Interactive TV,35551181
Albania,Interactive TV,35552450
Albania,Interactive TV,35555903
Albania,Interactive TV,35555904
Albania,AMC,35568
Albania,Eagle,35567
Albania,Others,3556
Albania,Plus/4L,35566
Albania,Vodafone,35569
Albania,OLO,3554252
Albania,Tirana,3554
Algeria,Algeria,213
Algeria,Algiers,21320
Algeria,Algiers,21321
Algeria,Algiers,21322
Algeria,CAT,2131
Algeria,Divona,2139619
Algeria,Djezzy/Orascom,2137
Algeria,Mobilis,2136
Algeria,Ooredo/Wataniya,2135
Algeria,VSAT,21396
Algeria,VAS,2138
American Samoa,American Samoa,1684
American Samoa,AS Telecom,168473
American Samoa,Blue Sky,16842
Andorra,Andorra,376
Andorra,La Vella,3767
Andorra,La Vella,3768
Andorra,Mobiland,3763
Andorra,Mobiland,3764
Andorra,Mobiland,3765
Andorra,Mobiland,3766
Angola,Angola,244
Angola,Luanda,2442
Angola,Mobile,2449
Angola,Movicel,24490
Angola,Movicel,24491
Angola,Movicel,24495
Angola,Movicel,24496
Angola,Movicel,24497
Angola,Movicel,24498
Angola,Movicel,24499
Angola,Movicel SA,244912
Angola,Movicel SA,244913
Angola,Movicel SA,244914
Angola,Movicel SA,244915
Angola,Movicel SA,244916
Angola,Movicel SA,244917
Angola,Unitel,24492
Angola,Unitel,24493
Angola,Unitel,24494
Anguilla,Anguilla,1264
Anguilla,Mobile,1264469
Anguilla,Mobile,1264497
Anguilla,Mobile,1264543
Anguilla,AT&T,1264581
Anguilla,AT&T,1264582
Anguilla,AT&T,1264583
Anguilla,AT&T,1264584
Anguilla,C & W (GSM),1264476
Anguilla,C & W (GSM),1264729
Anguilla,C & W (TDMA),1264235
Anguilla,C & W (TDMA),1264772
Anguilla,Digicel,1264536
Anguilla,Digicel,1264537
Anguilla,Digicel,1264538
Anguilla,Digicel,1264539
Anguilla,Special,1264000
Anguilla,Special,1264845
Antarctica,Antarctica,672
Antarctica,Casey Base,67212
Antarctica,Davis Base,67210
Antarctica,Maquarie Station,67213
Antarctica,Scott Base,67211
Antigua and Barbuda,Antigua and Barbuda,1268
Antigua and Barbuda,APUA,1268406
Antigua and Barbuda,APUA,1268409
Antigua and Barbuda,APUA,1268464
Antigua and Barbuda,APUA,1268717
Antigua and Barbuda,APUA,1268718
Antigua and Barbuda,APUA,1268719
Antigua and Barbuda,APUA,1268723
Antigua and Barbuda,APUA,1268724
Antigua and Barbuda,APUA,1268725
Antigua and Barbuda,APUA,1268726
Antigua and Barbuda,APUA,1268727
Antigua and Barbuda,APUA,1268728
Antigua and Barbuda,APUA,1268729
Antigua and Barbuda,APUA,1268732
Antigua and Barbuda,APUA,1268734
Antigua and Barbuda,APUA,1268736
Antigua and Barbuda,APUA,1268764
Antigua and Barbuda,APUA,1268770
Antigua and Barbuda,APUA,1268771
Antigua and Barbuda,APUA,1268772
Antigua and Barbuda,APUA,1268773
Antigua and Barbuda,APUA,1268774
Antigua and Barbuda,APUA,1268775
Antigua and Barbuda,APUA,1268779
Antigua and Barbuda,APUA,126878
Antigua and Barbuda,APUA,126879
Argentina,Argentina,54
Argentina,Special Services,54115519
Argentina,Special Services,54116261
Argentina,Special Services,54221587
Argentina,Bahia Blanca,54291
Argentina,Buenos Aires,5411
Argentina,Cordoba,5435
Argentina,Corrientes,54378
Argentina,Junin,542362
Argentina,La Pampa,54230
Argentina,La Plata,54221
Argentina,Mar Del Plata,54223
Argentina,Marcos Juarez,54347
Argentina,Mendoza,54261
Argentina,Mobile,549
Argentina,Morena,54237
Argentina,Neupuen,54299
Argentina,Pilar/Lujan & Mercedes,54232
Argentina,Posadas,543752
Argentina,Resistencia,543722
Argentina,Rio Cuarto,54358
Argentina,Rosario,54341
Argentina,Salta,54387
Argentina,San Juan,54264
Argentina,San Luis (Prov. San Luis),54265
Argentina,Santa Fe,54342
Argentina,Tucuman,54381
Argentina,Villa Maria,54353
Argentina,Zarata/Campana,54348
Armenia,Armenia,374
Armenia,Abovyan City,374222
Armenia,Echmiadzin,374231
Armenia,Gumri,374312
Armenia,Masis,374236
Armenia,Beeline/Armentel,37491
Armenia,Beeline/Armentel,37496
Armenia,Beeline/Armentel,37499
Armenia,Telecom/Vivacell,37477
Armenia,Telecom/Vivacell,37493
Armenia,Telecom/Vivacell,37494
Armenia,Telecom/Vivacell,37498
Armenia,Nagornyi Karabakh,37497
Armenia,Orange,37455
Armenia,Orange,37495
Armenia,Others,3745
Armenia,Others,3747
Armenia,Others,3749
Armenia,TelGSM,37492
Armenia,NGN/Special Services,37460
Armenia,Nagornyi Karabakh,3744
Armenia,Ucom,37411
Armenia,Vanadzor,374322
Armenia,Vivacell,3746076
Armenia,Vivacell,3746077
Armenia,Vivacell,3746078
Armenia,Vivacell,3746079
Armenia,Vivacell,3746080
Armenia,Vivacell,3746081
Armenia,Yerevan,37410
Aruba,Aruba,297
Aruba,Mobile,2979
Aruba,Digicel,29763
Aruba,Digicel,29764
Aruba,Digicel,29773
Aruba,Digicel,29774
Aruba,MIO,297600
Aruba,MIO,297622
Aruba,Setar,29756
Aruba,Setar,29759
Aruba,Setar,29766
Aruba,Setar,29769
Aruba,Setar,29796
Aruba,Setar,29799
Ascension Islands,Ascension Islands,247
Ascension Islands,Mobile,2474
Ascension Islands,Mobile,2475
Ascension Islands,Mobile,2478
Ascension Islands,Mobile,2479
Australia,Australia,61
Australia,Fixed Telstra,6114711
Australia,Fixed Telstra,6114712
Australia,Fixed Telstra,6114713
Australia,Fixed Telstra,6114717
Australia,Fixed Telstra,6114718
Australia,Fixed Telstra,6114719
Australia,Mobile Optus,611451
Australia,Mobile Optus,611452
Australia,Mobile Optus,611453
Australia,Mobile Telstra,6114715
Australia,Mobile Telstra,6114716
Australia Territories All,Australia Territories All,6114714
Australia,Adelaide,6187
Australia,Adelaide,6188
Australia,Brisbane,6172
Australia,Brisbane,6173
Australia,Canberra,6126
Australia,Darwin,61889
Australia,Hobart,613227
Australia,Hobart,613621
Australia,Hobart,613622
Australia,Hobart,613623
Australia,Hobart,613624
Australia,Hobart,613626
Australia,Local Rate,6113
Australia,Melbourne,6138
Australia,Melbourne,6139
Australia,Mobile,611
Australia,Mobile,614
Australia,Mobile,615
Australia,Hutchison,61425
Australia,Hutchison,61430
Australia,Hutchison,61433
Australia,Lycamobile,61469
Australia,Lycamobile,61470
Australia,Mobilsat,61143
Australia,OpTus,61401
Australia,OpTus,61402
Australia,OpTus,61403
Australia,OpTus,61411
Australia,OpTus,61412
Australia,OpTus,61413
Australia,OpTus,61421
Australia,OpTus,61422
Australia,OpTus,61423
Australia,OpTus,61431
Australia,OpTus,61432
Australia,OpTus,61434
Australia,OpTus,61435
Australia,Reach,6115
Australia,Reach,6116
Australia,Reach,6117
Australia,Reach,6118
Australia,Reach,6119
Australia,Telsta,6140
Australia,Telsta,61400
Australia,Telsta,61407
Australia,Telsta,61408
Australia,Telsta,61409
Australia,Telsta,61417
Australia,Telsta,61418
Australia,Telsta,61419
Australia,Telsta,614200
Australia,Telsta,6142010
Australia,Telsta,61427
Australia,Telsta,61428
Australia,Telsta,61429
Australia,Telsta,61437
Australia,Telsta,61438
Australia,Telsta,61439
Australia,Telsta,6144
Australia,Telsta,61447
Australia,Telsta,61448
Australia,Telsta,61488
Australia,Vodafone,61404
Australia,Vodafone,61405
Australia,Vodafone,61406
Australia,Vodafone,61410
Australia,Vodafone,61414
Australia,Vodafone,61415
Australia,Vodafone,61416
Australia,Vodafone,61420
Australia,Vodafone,61424
Australia,Vodafone,61449
Australia,Vodafone,61450
Australia,NSW Act,612
Australia,Perth,61852
Australia,Perth,61853
Australia,Perth,61854
Australia,Perth,61861
Australia,Perth,61862
Australia,Perth,61863
Australia,Perth,61864
Australia,Perth,61865
Australia,Perth,61892
Australia,Perth,61893
Australia,Perth,61894
Australia,Proper,610
Australia,Queensland,617
Australia,Sydney,6128
Australia,Sydney,6129
Australia,Tasmania,6136
Australia,Victoria,613
Australia,Wa Sa,618
Austria,Austria,43
Austria , Corporate number,43501
Austria , Corporate number,43502
Austria , Corporate number,43503
Austria , Corporate number,43504
Austria , Corporate number,43505
Austria , Corporate number,43506
Austria , Corporate number,43507
Austria , Corporate number,43508
Austria , Corporate number,43509
Austria , Corporate number,43517
Austria , Corporate number,4357
Austria , Corporate number,4359
Austria , Graz,433
Austria , Innsbruck,435
Austria , Internet numbers,43718
Austria , Klagenfurt,434
Austria , Linz,437
Austria , Mobile Spusu (Hutchison Drei),43670
Austria ,Mobile),43650
Austria ,A1/Telekom Austria,43664
Austria ,BoB (A1),43680
Austria ,Eety2 (Hutchison Drei),43665
Austria ,Mobile),43677
Austria ,Hutchison Drei,43660
Austria ,Hutchison Drei,43699
Austria ,Other,43644
Austria ,Other,43663
Austria ,Mobile,43676
Austria ,Tele2 (A1),43688
Austria ,Yesss (A1),43681
Austria ,Yesss (A1),436998
Austria , Salzburg,436
Austria , Vienna,431
Austria,Special Services,43711
Austria,Special Services,43720
Austria,Special Services,43730
Austria,Special Services,43740
Austria,Special Services,43780
Austria,Special Services,43810
Austria,Special Services,43820
Austria,Special Services,43821
Austria,Special Services,43828
Austria,Special Services,439
Azerbaijan,Azerbaijan,994
Azerbaijan,Baku,99412
Azerbaijan,Baku Catel,99412418
Azerbaijan,Baku Catel,99412447
Azerbaijan,Baku Catel,99412449
Azerbaijan,Lankaran,994171
Azerbaijan,Mobile,9945
Azerbaijan,Mobile,9946
Azerbaijan,Mobile,9947
Azerbaijan,40/Catel,99440
Azerbaijan,70/Azerfon,99470
Azerbaijan,70/Azerfon,99477
Azerbaijan,Azercell,99450
Azerbaijan,Azercell,99451
Azerbaijan,Bakcell,99455
Azerbaijan,CDMA,99444
Azerbaijan,CDMA/Nakhchivan,99460
Azerbaijan,Nakhchivan,994136
Azerbaijan,Sumgayit,994164
Bahamas,Bahamas,1242
Bahamas,Batelco,1242357
Bahamas,Batelco,1242359
Bahamas,Batelco,1242375
Bahamas,Batelco,1242395
Bahamas,Batelco,1242422
Bahamas,Batelco,1242423
Bahamas,Batelco,1242424
Bahamas,Batelco,1242425
Bahamas,Batelco,1242426
Bahamas,Batelco,1242427
Bahamas,Batelco,1242434
Bahamas,Batelco,1242436
Bahamas,Batelco,1242441
Bahamas,Batelco,1242442
Bahamas,Batelco,1242451
Bahamas,Batelco,1242452
Bahamas,Batelco,1242453
Bahamas,Batelco,1242454
Bahamas,Batelco,1242455
Bahamas,Batelco,1242456
Bahamas,Batelco,1242457
Bahamas,Batelco,1242462
Bahamas,Batelco,1242463
Bahamas,Batelco,1242464
Bahamas,Batelco,1242465
Bahamas,Batelco,1242466
Bahamas,Batelco,1242467
Bahamas,Batelco,1242468
Bahamas,Batelco,1242470
Bahamas,Batelco,1242471
Bahamas,Batelco,1242472
Bahamas,Batelco,1242473
Bahamas,Batelco,1242474
Bahamas,Batelco,1242475
Bahamas,Batelco,1242476
Bahamas,Batelco,1242477
Bahamas,Batelco,1242478
Bahamas,Batelco,1242479
Bahamas,Batelco,1242481
Bahamas,Batelco,1242524
Bahamas,Batelco,1242525
Bahamas,Batelco,1242533
Bahamas,Batelco,1242535
Bahamas,Batelco,1242544
Bahamas,Batelco,1242551
Bahamas,Batelco,1242552
Bahamas,Batelco,1242553
Bahamas,Batelco,1242554
Bahamas,Batelco,1242556
Bahamas,Batelco,1242557
Bahamas,Batelco,1242558
Bahamas,Batelco,1242559
Bahamas,Batelco,1242565
Bahamas,Batelco,1242577
Bahamas,Batelco,1242636
Bahamas,Batelco,1242646
Bahamas,Batelco,1242727
Bahamas,Nassau & Freeport,1242302
Bahamas,Nassau & Freeport,1242321
Bahamas,Nassau & Freeport,1242322
Bahamas,Nassau & Freeport,1242323
Bahamas,Nassau & Freeport,1242324
Bahamas,Nassau & Freeport,1242325
Bahamas,Nassau & Freeport,1242326
Bahamas,Nassau & Freeport,1242327
Bahamas,Nassau & Freeport,1242328
Bahamas,Nassau & Freeport,1242341
Bahamas,Nassau & Freeport,1242356
Bahamas,Nassau & Freeport,1242361
Bahamas,Nassau & Freeport,1242362
Bahamas,Nassau & Freeport,1242363
Bahamas,Nassau & Freeport,1242364
Bahamas,Nassau & Freeport,1242365
Bahamas,Nassau & Freeport,1242366
Bahamas,Nassau & Freeport,1242367
Bahamas,Nassau & Freeport,1242377
Bahamas,Nassau & Freeport,1242392
Bahamas,Nassau & Freeport,1242393
Bahamas,Nassau & Freeport,1242394
Bahamas,Nassau & Freeport,1242461
Bahamas,Nassau & Freeport,1242502
Bahamas,Nassau & Freeport,1242702
Bahrain,Bahrain,973
Bahrain (Batelco),Bahrain (Batelco),97317
Bahrain (Etisl),Bahrain (Etisl),973133
Bahrain (Zain),Bahrain (Zain),973136
Bahrain Mobile,Bahrain Mobile,9733
Bahrain Mobile,Bahrain Mobile,9736
Bahrain Mobile,Bahrain Mobile,9739
Bahrain Mobile,Batelco,97331
Bahrain Mobile,Batelco,973322
Bahrain Mobile,Batelco,973384
Bahrain Mobile,Batelco,973385
Bahrain Mobile,MENA,97377
Bahrain Mobile,MTC Vodafone,97336
Bahrain Mobile,MTC Vodafone,97337
Bahrain Mobile,STC (Viva),97333
Bahrain Mobile,STC (Viva),973340
Bahrain Mobile,STC (Viva),973341
Bahrain Mobile,STC (Viva),973343
Bahrain Mobile,STC (Viva),973344
Bahrain Mobile,STC (Viva),973345
Bahrain Mobile,STC (Viva),97335
Bahrain Mobile,STC (Viva),97363
Bahrain,Kalaam,973161
Bahrain,LightSpeed,973166
Bangladesh,Bangladesh,880
Bangladesh,Bangla Phone Ltd,880359
Bangladesh,Bay Phones,880313
Bangladesh,Chittagong,88031
Bangladesh,Dhaka,8802
Bangladesh,Dhaka Phone Ltd,880666
Bangladesh,Jalaalabad Telecom,880605
Bangladesh,Khulna,88041
Bangladesh,Mobile,8801
Bangladesh,Aktel/Bobi/TMIB,88018
Bangladesh,BBTT,88014
Bangladesh,BTL,88013
Bangladesh,Banglalink/Sheba Tel,88019
Bangladesh,Citycell/PBTL,88011
Bangladesh,Grameenphone,88017
Bangladesh,Teletalk,88015
Bangladesh,Warid,88016
Bangladesh,Moulivibazar,880861
Bangladesh,National Telecom Ltd,88037
Bangladesh,Ranks Tel,88044
Bangladesh,S A Telecom,880393
Bangladesh,Sheba Phone Ltd,88042
Bangladesh,Sylhet,88082
Bangladesh,Telebarta Ltd,88036
Barbados,Barbados,1246
Barbados,AT&T/Cingular,124682
Barbados,AT&T/Cingular,124683
Barbados,C&W,124623
Barbados,C&W,124624
Barbados,C&W,124625
Barbados,Digicel,1246256
Barbados,Digicel,1246257
Barbados,Digicel,1246258
Barbados,Digicel,1246259
Barbados,Digicel,124626
Barbados,Digicel,1246530
Barbados,Digicel,1246531
Barbados,Digicel,1246532
Barbados,Digicel,1246533
Barbados,Digicel,1246534
Barbados,Sunbeach,1246446
Barbados,Sunbeach,1246447
Barbados,Sunbeach,1246448
Barbados,Sunbeach,1246449
Barbados,Sunbeach,124645
Barbados,Sunbeach,1246477
Belarus,Belarus,375
Belarus,Grodno,375152
Belarus,Minsk,37517
Belarus,Belcell,375294
Belarus,Best,375255
Belarus,Best,375256
Belarus,Best,375257
Belarus,ITS 3,37533357
Belarus,Life,37525
Belarus,Life,37529
Belarus,MTS,375292
Belarus,MTS,375295
Belarus,MTS,375297
Belarus,MTS,375298
Belarus,MTS,37533
Belarus,Velcom/MDC,375291
Belarus,Velcom/MDC,375293
Belarus,Velcom/MDC,375296
Belarus,Velcom/MDC,375299
Belarus,Velcom/MDC,37544
Belarus,Mobility Services,375297298
Belarus,Mobility Services,375297299
Belarus,Mobility Services,37533344
Belarus,Special Services,3.75065E+11
Belarus,Special Services,3.75065E+11
Belarus,Special Services,3.75065E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75107E+11
Belarus,Special Services,3.75155E+11
Belarus,Special Services,3.75155E+11
Belarus,Special Services,3.75175E+11
Belarus,Special Services,3.75176E+11
Belarus,Special Services,3.75176E+11
Belarus,Special Services,3.75176E+11
Belarus,Special Services,3.75176E+11
Belarus,Special Services,3.75176E+11
